City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Williams Lake,CA,52.1415,-122.1445,68.05,27,75,10.36,broken clouds
80,Umm Lajj,SA,25.0213,37.2685,78.73,59,0,6.26,clear sky
81,Matagami,CA,49.7502,-77.6328,55.87,72,100,4.65,overcast clouds
82,Vysokogornyy,RU,50.1167,139.15,64.38,37,90,4.52,overcast clouds
83,Leon,MX,21.1167,-101.6667,86.05,9,0,2.66,clear sky
84,Deputatskiy,RU,69.3,139.9,28.94,88,100,6.02,light snow
85,Provideniya,RU,64.3833,-173.3,32.11,100,20,8.95,fog
86,Vardo,NO,70.3705,31.1107,39.18,87,60,9.22,broken clouds
87,Codrington,AU,-38.2667,141.9667,59.43,79,89,13.58,overcast clouds
88,Chokurdakh,RU,70.6333,147.9167,31.96,70,73,10.27,broken clouds
89,Georgetown,MY,5.4112,100.3354,84.13,76,20,1.14,few clouds
90,Mar Del Plata,AR,-38.0023,-57.5575,50.95,58,40,5.01,scattered clouds
91,Basingstoke,GB,51.2625,-1.0871,53.13,91,30,10.36,scattered clouds
92,Castro,BR,-24.7911,-50.0119,54.77,78,0,3.53,clear sky
93,Poronaysk,RU,49.2167,143.1167,45.84,87,74,11.34,broken clouds
94,Rikitea,PF,-23.1203,-134.9692,75.06,75,6,4.09,clear sky
95,Orocue,CO,4.7912,-71.3354,76.71,88,45,1.88,scattered clouds
96,Lagoa,PT,39.05,-27.9833,60.96,78,0,15.32,clear sky
97,Puerto Suarez,BO,-18.95,-57.8,75.51,43,100,2.37,overcast clouds
98,Mahebourg,MU,-20.4081,57.7,70.25,88,20,2.3,few clouds
99,Kudahuvadhoo,MV,2.6708,72.8944,82.38,73,15,9.22,few clouds
100,Grindavik,IS,63.8424,-22.4338,42.75,93,75,4.61,broken clouds
101,Cassilandia,BR,-19.1133,-51.7342,65.68,58,81,3.29,broken clouds
102,Ancud,CL,-41.8697,-73.8203,39.58,82,6,5.32,clear sky
103,Faanui,PF,-16.4833,-151.75,80.98,68,7,12.5,clear sky
104,Awbari,LY,26.5921,12.7805,82.35,9,100,3.71,overcast clouds
105,Sidi Ali,DZ,36.0998,0.4206,59.63,75,16,6.33,few clouds
106,Clyde River,CA,70.4692,-68.5914,16.03,92,100,25.32,light snow
107,Fortuna,US,40.5982,-124.1573,64.92,80,20,13.8,few clouds
108,Komsomolskiy,UZ,40.4272,71.7189,66.92,55,98,2.3,overcast clouds
109,Marzuq,YE,14.4,46.4667,73.9,35,9,3.38,clear sky
110,Tuktoyaktuk,CA,69.4541,-133.0374,37.4,75,75,5.75,broken clouds
111,Dikson,RU,73.5069,80.5464,21.88,94,100,3.89,overcast clouds
112,Falmouth,GB,50.1544,-5.0711,56.3,94,75,14.97,broken clouds
113,Mount Gambier,AU,-37.8333,140.7667,57.11,94,100,8.05,overcast clouds
114,Adrar,MR,20.5022,-10.0711,87.24,13,0,7.7,clear sky
115,Fairbanks,US,64.8378,-147.7164,69.6,33,75,11.5,broken clouds
116,Norman Wells,CA,65.282,-126.8329,51.84,71,100,8.05,overcast clouds
117,Jiayuguan,CN,39.8167,98.3,63.72,17,100,6.2,overcast clouds
118,Hofn,IS,64.2539,-15.2082,43.9,84,20,3.27,few clouds
119,Sinnamary,GF,5.3833,-52.95,78.12,88,54,8.21,broken clouds
120,Pisco,PE,-13.7,-76.2167,62.65,88,100,5.75,mist
121,San Policarpo,PH,12.1791,125.5072,83.41,77,100,8.95,overcast clouds
122,Monastyrshchina,RU,54.3496,31.838,49.1,90,67,6.46,broken clouds
123,La Ronge,CA,55.1001,-105.2842,64.65,34,71,4.61,broken clouds
124,Cidreira,BR,-30.1811,-50.2056,65.48,85,100,3.96,overcast clouds
125,Longyearbyen,SJ,78.2186,15.6401,39.04,87,75,3.44,broken clouds
126,Jumla,NP,29.2747,82.1838,53.71,64,80,2.08,broken clouds
127,Khatanga,RU,71.9667,102.5,31.35,76,25,6.58,scattered clouds
128,Benemerito De Las Americas,MX,16.5167,-90.6439,79.95,82,94,4.23,overcast clouds
129,Victoria,HK,22.2855,114.1577,84.38,89,58,8.99,broken clouds
130,Port Lincoln,AU,-34.7333,135.8667,61.83,72,12,10.09,few clouds
131,Grand Gaube,MU,-20.0064,57.6608,70.38,79,5,4.0,clear sky
132,Severo-Kurilsk,RU,50.6789,156.125,41.72,91,88,6.2,overcast clouds
133,Geraldton,AU,-28.7667,114.6,63.01,72,75,12.66,broken clouds
134,Punta Alta,AR,-38.8759,-62.0736,44.62,53,0,2.1,clear sky
135,Kruisfontein,ZA,-34.0033,24.7314,56.03,90,25,6.06,scattered clouds
136,Zaranj,AF,30.9667,61.8833,78.21,31,0,24.4,clear sky
137,Pimentel,PE,-6.8367,-79.9342,64.54,85,6,12.01,clear sky
138,Leh,IN,34.1667,77.5833,48.11,43,14,7.4,few clouds
139,Roald,NO,62.5833,6.1333,50.32,87,20,6.91,few clouds
140,Upernavik,GL,72.7868,-56.1549,24.89,61,99,5.44,overcast clouds
141,Esperance,AU,-33.8667,121.9,60.8,67,12,8.41,few clouds
142,Trelew,AR,-43.249,-65.3051,41.18,38,0,6.67,clear sky
143,Touros,BR,-5.1989,-35.4608,75.58,89,98,10.49,overcast clouds
144,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,56.1,69,100,6.02,overcast clouds
145,Goderich,CA,43.7501,-81.7165,62.92,72,100,14.97,overcast clouds
146,Atar,MR,20.5169,-13.0499,90.03,15,10,2.17,clear sky
147,Sibolga,ID,1.7427,98.7792,79.45,72,99,0.76,overcast clouds
148,Aravissos,GR,40.84,22.2956,71.92,83,12,2.51,few clouds
149,Hermanus,ZA,-34.4187,19.2345,58.8,93,84,2.35,light rain
150,Portland,US,45.5234,-122.6762,74.61,54,75,5.75,broken clouds
151,Morondava,MG,-20.2833,44.2833,69.13,89,1,7.54,clear sky
152,Boden,SE,65.8252,21.6886,48.2,83,100,2.89,overcast clouds
153,Porto Belo,BR,-27.1578,-48.5531,69.26,93,3,4.99,clear sky
154,Baykit,RU,61.67,96.37,53.89,70,15,5.66,light rain
155,Neiafu,TO,-18.65,-173.9833,84.88,74,40,13.8,scattered clouds
156,Bredasdorp,ZA,-34.5322,20.0403,58.51,92,100,1.48,overcast clouds
157,Namibe,AO,-15.1961,12.1522,66.88,71,0,7.99,clear sky
158,Sinnai,IT,39.3042,9.2036,69.51,79,0,9.22,light rain
159,Nerchinskiy Zavod,RU,51.3088,119.61,72.91,23,7,1.19,clear sky
160,Linxia,CN,35.6003,103.2064,59.86,77,100,2.39,light rain
161,Saint George,US,37.1041,-113.5841,96.64,9,0,5.01,clear sky
162,Egvekinot,RU,66.3167,-179.1667,43.29,68,61,6.35,broken clouds
163,Karratha,AU,-20.7377,116.8463,78.39,51,32,10.27,scattered clouds
164,Quelimane,MZ,-17.8786,36.8883,66.15,94,0,0.0,clear sky
165,Alofi,NU,-19.0595,-169.9187,82.29,74,75,13.8,broken clouds
166,Cururupu,BR,-1.8283,-44.8683,73.47,98,20,3.24,few clouds
167,Lodja,CD,-3.4833,23.4333,67.55,97,92,1.83,overcast clouds
168,Puerto Ayora,EC,-0.7393,-90.3518,71.55,95,16,3.0,few clouds
169,Saint Anthony,US,45.0205,-93.218,51.49,93,100,16.11,overcast clouds
170,Salta,AR,-24.7859,-65.4117,62.58,77,40,8.05,scattered clouds
171,Huarmey,PE,-10.0681,-78.1522,64.13,86,12,7.18,few clouds
172,Lompoc,US,34.6391,-120.4579,67.59,68,0,11.5,clear sky
173,Semey,KZ,50.4111,80.2275,70.02,35,0,2.24,clear sky
174,Sorong,ID,-0.8833,131.25,81.64,75,56,9.13,broken clouds
175,Kodiak,US,57.79,-152.4072,54.91,67,0,8.05,clear sky
